# Lexique de traduction des termes de règle -- table d'autorité du projet (LOT-30).
#
# GÉNÉRÉ. Ne pas éditer à la main :
#     python scripts/sourcebook glossaire
#
# Une seule traduction par terme de règle, dans tout le jeu. Ce n'est pas un catalogue
# d'interface -- fr.lang et en.lang font cela ; c'est ce qui empêche « saving throw » de
# devenir « jet de sauvegarde » dans la fiche et « JdS » dans le journal de combat.
#
# Source : Glossaire.pdf (aidedd.org), complété par Basic-Rules-FR.pdf. Provenance `srd`
# pour la totalité du fichier (EX-CNT-001), OGL 1.0a -- inutile de la répéter par ligne.
#
# Plusieurs traductions d'un même terme sont séparées par « / » ; la première est la
# forme retenue, les suivantes sont admises en lecture (check_glossary.py).
anglais;français;catégorie
Wave;Vague;
Way of Shadow;Voie de l'ombre;voie (moine)
Way of the Four Elements;Voie des quatre éléments;voie (moine)
Way of the Open Hand;Voie de la paume;voie (moine)
Weapon +1, +2, or +3;Arme +1, +2 ou +3;
Weapon Bond;Lien avec une arme / Arme occulte;capacité (guerrier)
Weapon Master;Maître d'armes;don
Weapon of Warning;Arme vigilante;
Weasel;Belette;
Web;Toile d'araignée;
Weird;Ennemi subconscient;
Well of Many Worlds;Puits des mondes;
Werebear;Ours-garou;
Wereboar;Sanglier-garou;
Wererat;Rat-garou;
Weretiger;Tigre-garou;
Werewolf;Loup-garou;
Whelm;Déluge;
whip;fouet;arme
Whirlwind;Tourbillon (XGtE);
Whispers of the Grave;Murmures de la tombe;manifestation occulte
White Dragon;Dragon blanc;
Wholeness of Body;Plénitude physique;capacité (moine)
Wight;Nécrophage;
Wild Magic;Magie sauvage;voie (ensorceleur)
Wild Magic Surge;Sursaut de magie sauvage / Pic de magie sauvage;capacité (ensorceleur)
Wild Shape;Forme sauvage;capacité (druide)
Will-o'-Wisp;Feu follet;
Wind Fan;Éventail enchanté;
Wind Walk;Marche sur le vent / Vent divin;
Wind Wall;Mur de vent;
Winged Boots;Bottes ailées;
Winged Kobold;Kobold ailé;
Wings of Flying;Cape de vol Univers D&D 5;
Winter Wolf;Loup arctique;
Wisdom;Sagesse;caractéristique
Wish;Souhait;
Witch Bolt;Trait ensorcelé;
Witch Sight;Vision de sorcier / Vision sorcière;manifestation occulte
wizard;magicien;classe
Wolf;Loup;
wood elf;elfe des bois / elfe sylvestre;sous-race (elfe)
Wood Elf Magic;Magie des elfes des bois / Magie des elfes sylvestres;don (XGtE)
Wood of Sharp Teeth;Bois des dents acérées / Forêt des Dents tranchantes;
Word of Radiance;Mot de radiance (XGtE);
Word of Recall;Mot de retour;
Worg;Worg;
Wraith;Âme en peine / Âme-en-peine;
Wrath of Nature;Fureur de la nature (XGtE);
Wrath of the Storm;Fureur de l'ouragan;capacité (clerc)
Wrathful Smite;Châtiment courroucé;
Wyvern;Wiverne / Vouivre;
Xorn;Xorn;
Yeti;Yéti / Yeti;
Yochlol;Yochlol;
Young Dragon;Dragon, jeune / Jeune dragon;
Young Red Shadow Dragon;Dragon d'ombre rouge, jeune;
Young Remorhaz;Remorhaz, jeune / Jeune remorhaz;
Ysgard;Ysgard;plan Sorts D&D 5
Yuan-ti Abomination;Yuan-ti abomination / abomination yuan-tie;
Yuan-ti Malison;Yuan-ti malison;
Yuan-ti Pureblood;Yuan-ti sang-pur;
Zephyr Strike;Frappe du zéphyr (XGtE);
Zhentarim;Zhentarim;faction
Zombie;Zombi Objets magiques D&D 5;
Zone of Truth;Zone de vérité Créatures D&D 5;
